question,total_token_counts
의도치 않은 비용을 충당하기 위해 작은 대출이 필요한데 신용 이력이 좋지 않아요,2523
저는 신용점수가 낮고 신용카드를 소지하고 있지 않아요,2472
신용점수가 낮아서 신용카드를 받기가 어려워요,3381
신용점수가 낮은 사람으로써 적합한 금융 상품을 찾기가 어려워요,2299
"신용점수가 낮아서 신용카드를 받기 어렵지만, 지난 6개월 동안 신뢰할만한 상환 기록이 있습니다",3052
"신용카드가 없고, 신용점수가 평균 이하입니다",2785
"얼마 전에 일자리를 잃었고, 새로운 일을 찾는 데 어려움을 겪고 있어요",1869
"가족이 재정 위기를 겪고 있고, 기본 생활 필수품을 구매할 수 없어요",2023
저는 장애가 있어 일상 생활에서 지원이 필요해요,2273
"제가 저소득 단독 부모이고, 아이 돌봄에 어려움을 겪고 있어요",4375
"저는 노인이고, 외로움을 느끼고 있어요",3196
최근에 일자리를 잃었고 생활비를 감당하기 힘들어요,1465
"저는 장애를 가진 아이가 있는데, 그들의 의료비를 위해 재정적 지원이 필요해요",1657
"저는 싱글 부모이고, 어린이 돌봄비에 대한 도움이 필요해요",4242
"저는 곧 결혼을 하는데, 결혼 비용에 대한 재정적 지원이 필요해요",3159
노인 부모님들을 돌보기 위한 비용이 부담스러워요,1621
작은 회사를 운영하고 있어요,2172
"저는 소규모 상점을 운영하고 있는 자영업자인데, 자금 부족으로 사업 관리에 어려움을 겪고 있어요",2237
"은행에서 대출을 받아야 하는데, 담보물이 적어서 어려움을 겪고 있어요",2483
"저는 특정 업종에서 소규모 사업을 운영하고 있는데, 사업 확장을 위해 재정 지원이 필요해요",4850
"저는 소규모 사업주인데, 낮은 이자율로 자금을 조달할 수 있는 옵션을 알아보고 싶어요",2270
나는 최근에 작은 사업을 시작했는데 어떻게 성공시킬지 잘 모르겠어요,2309
내 재정을 관리하는데 어려움을 겪고 있어서 어떻게 개선할지 조언이 필요해요,1682
"새로운 가게를 열고 싶은데 어떻게 시작해야 할지, 올바른 위치를 선택하는 방법을 모르겠어요",2910
나는 제품을 마케팅하고 홍보하는 데 어려움을 겪고 있어요,2785
온라인 상점을 시작하고 싶은데 어떻게 설치하고 운영하는지 전혀 모르겠어요,3450
대학생인데 돈을 제대로 관리하는 게 어려워서 종종 빚이 생기는 거 같아요,3348
최근에 금융사기를 당해서 다시 일어나지 않도록 어떻게 할 수 있는지 모르겠어요,2500
청년인데 어떻게 하면 좋은 신용 기록을 만들 수 있을까요? 어디서 시작해야 할까요?,2094
저는 소규모 사업주인데 사업 부채 관리에 곤경이에요,2758
생활비가 적은 사람인데 돈을 관리하고 과도한 빚을 피하는 데 도움이 되는 자원이 있을까요?,1962
저는 최근에 일자리를 잃어서 경제적으로 힘들고 있어요,2415
저는 장애가 있어서 특수 장비 구매에 도움이 필요해요,3430
저는 임신 중이고 태교비용에 대해 걱정이 되어요,3133
저는 저소득층이라 의료비를 감당할 수 없어요,2396
"저는 건강검진을 받은 적이 없는데, 고려해볼 가치가 있을까요?",3755
저는 두 자녀를 돌보면서 생계를 유지하는 싱글 부모입니다,1934
최근에 일자리를 잃어 집세를 내기 힘들고 있습니다,2438
저는 장애가 있어 적합한 일자리를 찾기 힘들고 있습니다,2004
"저의 노인 부모님은 일상 생활에서의 도움이 필요하지만, 항상 함께 할 수는 없습니다",2121
저는 학생이고 수업료를 지불할 돈이 없습니다,2915
"제가 희귀하고 심각한 질병을 가지고 있어서 치료가 필요한데, 제 소득은 낮고 금전적으로 지원해줄 사람이 없습니다",2518
저는 만성 질병 환자이고 계속해서 치료를 받아야 합니다,1783
저희 아이가 심각한 질병을 가지고 있어서 자주 병원에 가야 합니다,3108
"제가 6개월 이상 치료를 받고 있고, 이로 인해 경제적으로 어려움을 겪고 있습니다",3646
제 소득이 적고 희귀한 질병을 가지고 있어서 의료비를 어떻게 관리할 수 있을까요?,1947
내가 고혈압과 당뇨병 진단을 받았어요,2317
저는 65세 이상인데 고혈압과 당뇨병이 있어 걱정이에요,2950
최근에 새 도시로 이사를 왔는데 고혈압과 당뇨병을 가지고 있어요,2888
집에서 고혈압과 당뇨병을 더 적극적으로 관리하고 싶어요,2641
고혈압과 당뇨병 등록관리 서비스에 대해 몇 가지 궁금한 점이 있어요,2331
최근에 심각한 사고를 당해서 심한 부상을 입었어요,2166
특이하고 복잡한 질병 진단을 받았어요,2834
노인인 어머니가 진행된 단계의 암 진단을 받았어요,2478
"악성 질환으로 오랫동안 살아가고 있는데, 의료비가 계속해서 쌓여가고 있어요",1547
"결핵 진단을 받았는데, 치료가 길고 비용이 많이 들어가요",2720
최근에 일자리를 잃었고 의료비를 감당하기가 어려워요,2013
수입이 적고 가족의 의료비가 쌓여가고 있어요,2449
저는 싱글 부모이고 제 아이가 자주 의료 치료를 받아야 해요,2976
제가 만성적인 질환이 있어서 정기적으로 병원에 가야 해요,2330
수입이 적고 제가 의료비에 상당한 금액을 지불하고 있어요,1470
저소득층으로 일자리를 잃어 의료비를 감당할 수 없는 상황입니다,2111
"독립 생활을 하는 노인이며, 한정된 재정 자원으로 건강을 유지하기 어려운 상황입니다",2762
"지속적인 의료 치료가 필요한 장애를 지니고 있지만, 비용 부담이 어렵습니다",1816
"자녀가 여러 명인 싱글맘으로, 자신과 가족의 정기적인 건강 검진을 감당하기 어려운 상황입니다",3841
최근 이사를 하여 새로운 도시에 살면서 안정된 수입이 없어 의료비를 지불하기 힘든 상황입니다,2828
최근에 일자리를 잃어서 생활비를 마련하는 데 어려움을 겪고 있어요,1666
저는 지속적인 치료와 약물이 필요한 만성 질환을 가지고 있어요,2671
최근 큰 수술을 받아서 현재는 집에서 회복 중이에요,1805
제 동작능력에 영향을 주는 장애가 있어서 휠체어나 목발과 같은 보조기구를 사용해야 해요,2762
"저희 가족이 예기치 않은 상황으로 인해 어려움을 겪고 있고, 자녀들에게 기본적인 필요물을 제공하기가 힘들어요",2046
나는 아이의 의료비를 감당하기 어려운 싱글 부모입니다,3019
저는 만성 질병이 있어 정기적인 의료 치료가 필요하지만 차출금을 감당할 수가 없어요,2694
최근에 일자리를 잃어 의료보험에 들어가지 못하고 있어요,2768
저는 임신 중이고 출산 비용을 걱정하고 있어요,3131
저는 희귀병을 가졌고 비싼 약물이 필요합니다,2965
저는 저소득 노인이라서 의료비 지원이 필요해요,2235
저는 장애를 가지고 있어서 건강 관리에 어려움을 겪고 있어요,3149
저는 임신 중이고 의료비 지원 서비스가 있는지 알고 싶어요,2985
저는 최근에 일자리를 잃어서 건강 관리비를 어떻게 내야 할지 걱정돼요,2002
저는 만성 질환을 가지고 있어서 약값에 도움이 필요해요,2082
만성 질병이 있어서 여러 의사들을 만나봐야 해요,2771
"제가 희귀하고 심각한 유전적 질환을 가졌는데, 그걸 치료할 수 있는 병원을 찾기가 어려워요",3300
저는 지속적인 의료 치료가 필요한 장애가 있어요,2316
저는 최근에 새로운 도시로 이사왔어요,2132
저는 장기간 의료 치료가 필요한 만성 질환을 가지고 있어요,2395
최근에 기분이 많이 좋지 않아서 왜 그런지 모르겠어요,1845
"최근에 일자리를 잃었고, 새로운 일자리를 찾는 데 어려움을 겪고 있어요",2261
만성 질병이 있어서 증상을 잘 관리하는 데 어려움을 겪고 있어요,2295
"저는 싱글 부모이고, 일과 아이 돌봄을 균형있게 이루는 것이 어려워요",3805
"저는 노인이고, 외로움과 고립감을 느끼고 있어요",3203
"나는 최근에 새로운 동네로 이사를 왔는데, 지역 사회에 참여하고 싶어요",1477
"나는 몸무게에 고민하고 있고, 건강을 개선할 방법을 찾고 싶어요",1365
내 아이가 호흡곤란을 겪고 있는 것 같아서 더 심각한 문제가 발생하지 않도록 예방하고 싶어요,1923
"나는 구강 건강에 대해 걱정이 되고 있는데, 적절한 관리 방법을 알고 싶어요",1801
"최근에 스트레스와 압박감을 느끼고 있어서, 정신적인 건강을 개선하는 방법을 찾고 싶어요",1522
저는 최근에 너무 스트레스 받고 압박감이 느껴져요,3216
"최근에 저는 일자리를 잃었고, 경제적으로 어려움을 겪고 있어요",1746
저는 장애가 있어서 제 요구에 맞는 일자리를 찾기 어려워요,2108
"저는 막 엄마가 되었는데, 혼란스럽고 불안한 마음이 들어요",2502
"제 소득이 낮은데, 의료 서비스를 이용하기 어렵습니다",3447
최근에 일자리를 잃었고 의료비를 감당하기 힘들어요,1487
노인 부모님이 일상 생활에서 도움이 필요하지만 간병인을 고용할 여력이 없어요,2566
장애가 있어서 의료 예약을 위한 교통 수단에 도움이 필요해요,1645
저는 한 부모이고 일할 때 아이 돌보는 데 도움이 필요해요,3559
소득이 적어서 식사를 할 수가 없어요,1694
"최근에 일자리를 잃었고, 아이의 의료비를 감당하기 힘들어요",1325
"저는 소득이 적고, 아이에게 암 진단이 나왔어요",3782
"제 아이가 백혈병을 진단받았는데, 일반 의료보험 보상 대상이 아닙니다",2502
"제 아이에게 암이 있고, 의료비가 너무 많이 나와서 압박이 되고 있어요",1387
"저는 싱글 부모이고, 아이가 암이에요",3905
최근에 일자리를 잃어서 만성 질환의 의료비를 감당하기 힘들어요,1997
"저는 한 부모이고, 특별한 식이 요구를 갖는 제 아이에게 영양가 있는 음식을 살 수가 없어요",2083
제가 특이한 유전자 이상을 가지고 있어서 특수 의료 장비 비용을 지원받아야 해요,2615
"저는 희귀한 질병을 가진 노인 부모님을 돌보고 있는데, 그들의 의료비를 지원받을 도움이 필요해요",1889
저는 장애를 가지고 있어서 일할 수가 없어요,2338
최근에 전염성 질병으로 인해 입원 및 격리되어야 하는 의료 지시서를 받았어요,2029
가족 중 한 명이 심한 질병으로 진단을 받고 전문병원에서 치료를 받아야 해요,2783
최근에 전염성 질병으로 진단을 받았고 격리되어 치료를 받아야 합니다,2774
저는 막 감염병에 걸려서 격리되고 치료를 받아야 하는 의료 지시서를 받았어요,2237
우리 가족 중 한 명이 심한 질병으로 인해 입원과 격리가 필요하며 치료를 받아야 해요,1952
요즘 기분이 매우 우울하고 일상생활에 영향이 있어요,2756
제 아이가 학교에서 행동 문제가 많이 생긴 거 같아요,2688
최근에 일자리를 잃었고 생계유지에 힘들고 있어요,2583
저는 장애가 있어 적합한 일자리를 찾기 힘들고 있어요,2152
가정 폭력의 피해자이며 이 상황에서 벗어나기 위해 지원이 필요해요,2313
상당히 압도되는 기분이 들어요,2801
"최근에 많이 술을 마시고 있는데, 일과 사람들과의 관계에 영향을 주기 시작했어요",1997
도박을 멈출 수가 없어요,1305
"약물을 사용하고 있는데, 그만두고 싶은데 어디서부터 시작해야 할지 모르겠어요",3066
"대부분의 시간을 온라인에서 보내고 있는데, 개인적인 삶과 관계에 영향을 주고 있어요",2177
일자리를 잃어서 안정적인 주거를 찾기가 힘들어요,1806
장애가 있어서 일상 생활 활동에 도움이 필요해요,2329
저는 막 아기를 낳았는데 너무 힘들어요,4083
나는 최근에 이 나라에 이민 왔는데 언어와 문화를 이해하는 데 어려움이 있어요,1551
중독에 고민하고 있고 깨끗한 삶을 살고 싶어요,2204
상담자에게 돌아갈 곳이 없어서 최근 기분이 상승하지 않아요,3369
제 아이가 학교에서 어려움을 겪고 있어서 어떻게 도와줄지 모르겠어요,2436
최근에 일자리를 잃어서 생활비를 감당하기가 힘들어요,1594
제가 장애가 있어서 편의 시설이 갖춰진 주택을 찾는데 어려움을 겪고 있어요,2241
가정 폭력의 피해자로서 도움을 받을 곳을 모르겠어요,2310
최근에 일자리를 잃어서 새로운 일자리를 찾는 것에 대해 정말로 스트레스를 받고 있어요,1641
"개인적인 문제로 고민하고 있고, 정신 건강에 영향을 받고 있어요",1855
"노인 부모님이 치매 진단을 받았고, 그들의 변화하는 행동에 대처하기 어려워요",2732
"제 아이가 학교에서 문제 행동을 보이고 있고, 그들의 학업 성취에 대해 걱정돼요",3012
"최근에 외상적인 사건을 경험했고, 악몽과 난입하는 생각이 있어요",2177
저는 70세로 일상 생활을 혼자서 하는 것에 어려움을 겪고 있어요,2355
"엄마가 치매로 진단을 받았는데, 일상 생활을 수행하는 것이 어려워하고 있어요",2762
"최근에 뇌졸중을 겪었는데, 신체 활동에 어려움을 겪고 있어요",3201
"조카가 파킨슨병으로 고통받고 있고, 일상 생활에서 지속적인 지원이 필요해요",2934
저는 일상 기본 작업을 독립적으로 수행하는 것이 어려운 장애를 가지고 있어요,2678
"나의 노인 어머니가 장기간의 돌봄이 필요하고, 경제적 부담으로 고민 중이에요",4260
"최근에 나는 장애가 있는 형제의 간병인이 되었는데, 너무 힘들어지고 있어요",2070
"나는 일하는 부모이고, 아이의 일상 생활을 관리하는 데 도움이 필요해요",3855
나는 신체적 장애가 있어 일상적인 일을 도와주어야 해요,3155
최근에 일자리를 잃어서 새로운 일을 찾기 어려워 고민 중이에요,2217
부상 이후로 재정적으로 어려움을 겪고 있는 장애 거부자입니다,1926
최근에 직장을 잃었고 가족을 경제적으로 지원하기 힘들어요,2365
저는 싱글 부모이며 어린이 돌봄 비용에 도움이 필요해요,4470
혼자 사는 노인이지만 일상 생활 가사를 도와주는 서비스가 필요합니다,2097
저는 저소득자이며 의료비를 감당하기 어려워요,1764
최근에 전쟁 참전용사로 활약하셨던 아버지를 잃었어요,3160
제 몸에 신체적인 장애가 있어서 제 필요에 맞춰 일자리를 찾기가 어려워요,2066
"저는 혼자 어린이를 키우고 있는 단독 부모이고, 생활비를 감당하기가 힘들어요",2602
"저는 혼자 살고 있는 노인이고, 때로는 외로움과 고립감을 느끼곤 해요",3045
저는 최근 이민자로 이곳에 와서 적응하기가 어려워요,1957
저는 장애를 가진 공인으로 소득이 매우 낮아요,2696
최근에 일자리를 잃었고 가족을 부양해야 합니다,1493
저는 싱글 부모이고 생계 유지가 어렵습니다,3466
저는 혼자 사는 노인이고 모든 경비를 감당하기 어렵습니다,2616
제 소득이 적고 만성적인 질병으로 정기적인 치료가 필요합니다,3048
나는 70세의 은퇴한 베테랑입니다,2237
나는 장애인으로 직업을 찾기 어려워하고 있습니다,3134
방금 배우자를 잃어 도전적으로 경제적으로 문제가 있습니다,2257
소득이 낮아 의료비를 감당하기 어렵습니다,1805
저는 어린 아이들과 함께하는 싱글 부모로 어린이 돌봄 비용에 어려움을 겪고 있습니다,4063
저는 저소득층이며 독립전사의 자녀입니다,3167
저는 저소득으로 노인입니다,3398
저는 장애인이며 소득이 제한적입니다,3017
저는 한 부모로서 저소득입니다,2568
저는 생계유지에 어려움을 겪고 있는 저소득자입니다,4256
최근에 직업을 잃어서 경제적으로 힘들어요,2795
등을 다쳐서 일상 생활에 어려움을 겪고 있어요,2733
노인 부모님이 의료비 지원이 필요해요,2340
학생인데 등록금을 감당하기 힘들어요,3486
혼자서 아이를 양육하는데 어려움을 겪고 있어요,3742
나는 최근 군 복무를 마치고 돌아온 장애를 가진 군인입니다,1744
나는 세 아이를 키우는 싱글맘인데 일하면서 어린이 돌봄비를 감당하기 힘들어요,3171
나는 최근에 대학을 졸업했지만 학자금 대출때문에 고민이 많아요,3991
나는 저소득자이고 영양가 있는 식사를 제공해주는 프로그램이 없어서 고민이에요,1709
나는 혼자 살고 있는 노인이고 요리와 청소와 같은 일상 생활에서 어려움이 있어요,2633
최근에 직장을 잃어버렸고 생활비를 조달하기가 힘들어요,2907
저는 싱글 부모이고 어린이 돌봄에 도움이 필요해요,3601
제 노인 부모님은 일상적인 일들에 도움이 필요해요,2405
저는 장애를 가지고 있고 접근 가능한 주택을 찾는데 어려움을 겪고 있어요,4428
제 친구가 중독에 어려움을 겪고 있어 전문적인 도움이 필요해요,1802
최근에 일자리를 잃어버렸고 생계유지에 어려움을 겪고 있어요,2440
차 사고를 당해서 다른 사람의 도움 없이 움직이기 어렵습니다,1580
"고령의 부모님이 멀리에 살고 있고, 저는 그들이 제가 함께 있지 않을 때 걱정돼요",3262
"특수한 필요를 가진 아이를 키우고 있는데, 적절한 자원과 지원을 찾는 것에 도움이 필요해요",4454
"가정 폭력의 생존자이며, 안전한 곳에 머무를 곳이 필요해요",1891
전쟁 참전 용사이고 65세 이상입니다,1871
최근에 일자리를 잃어 생활이 어렵습니다,2280
제가 장애를 가지고 있어 일상 생활에 지원이 필요합니다,2274
"저는 한부모이며, 아이의 생활에 어려움을 겪고 있습니다",3822
저는 노인이고 외로움과 고립을 느끼고 있습니다,3199
최근에 일자리를 잃어서 생계 유지에 어려움을 겪고 있어요,4215
저는 한 부모로 어린 자녀를 키우고 있어요,2195
저는 혼자 사는 노인이에요,3494
저는 일상 생활에 도움이 필요한 장애인이에요,2920
소득이 적어서 의료비를 감당할 수 없어요,1590
여러 해 동안 군에서 복무한 후 유해 물질에 노출되어 장애가 생겼어요,2074
전쟁에서 복무한 베테랑이고 외상 후 스트레스 장애 진단을 받았어요,2222
가까운 시일 내에 일시적으로 장애로 인해 일자리를 잃었고 경제적으로 힘들고 있어요,2012
낮은 소득의 싱글 부모이고 제 아이들에게 영양가 있는 식사를 제공하는 데 도움이 필요해요,2146
독거하고 노인인데 자주 외로움과 고립감을 느껴요,3392
나는 유전적 장애가 있는 아이를 키우고 있어서 계속해서 의료 치료가 필요해요,1617
제 배우자는 전쟁 참전 군인이고 최근 군 복무로 인한 만성 질환이 진단되었어요,1867
저는 일하는 부모이지만 심각한 장애가 있는 아이가 있어 특별한 돌봄이 필요해요,3764
저의 노인 부모님은 나이와 건강 악화로 인해 일상 생활에 어려움을 겪고 있어요,2710
"최근에 일자리를 잃었고, 이동에 지장이 있는 장애가 있습니다",2097
"나는 사고로 다리를 다쳤고, 어떤 도움 없이는 움직이기가 어렵습니다",2023
내 노인 부모님은 건강이 악화되어 계속적인 돌봄이 필요합니다,2393
"나는 전쟁 참전용사로, 일상 활동을 독립적으로 수행하는 것이 어렵습니다",2200
"내 자매가 최근에 장애 진단을 받았고, 기본적인 일상활동에 어려움을 겪고 있습니다",3329
나는 영웅인 가족 구성원이 심각한 부상을 입었습니다,2186
최근에 일자리를 잃었고 생활을 할 수 있는 데 어려움을 겪고 있어요,2295
최근에 기운이 빠지고 압도되는 기분이 들어요,2742
노인 어머니가 홀로 살고 일상생활에 도움이 필요해요,2091
최근에 장애가 있다는 진단을 받아 일상생활에서 도움이 필요해요,2827
저는 싱글 부모이고 일과 아이 돌봄을 균형있게 조절하는 게 어려워요,3634
저는 노인이고 경제적으로 지원해 줄 사람이 없어요,2674
최근에 장애로 인해 일자리를 잃었고 생계유지가 어려워요,1631
저는 군대에서 복무했고 지금 경제적인 어려움을 겪고 있어요,1852
저는 한 부모이고 혼자서 자녀들에게 적절한 돌봄을 제공하기 힘들어요,3058
제 수입이 적고 기본 생활에 어려움을 겪고 있어요,2172
나는 혼자 사는 노인이고 움직임에 어려움이 있습니다,1762
나는 장애를 가진 전쟁 참전자이며 배우자와 함께 살고 있습니다,3227
나는 전사의 유족으로 혼자 살고 있습니다,1773
나는 혼자 사는 장애인이고 움직임에 어려움을 겪고 있습니다,2401
"나는 배우자와 함께 사는 노인이며, 일상 생활의 어려움과 건강 관리에 도움이 필요합니다",2987
저는 소득이 적은 전쟁 참전 용사입니다,1495
"제 부모님은 전쟁 참전 용사이고, 요양원에서 도움이 필요합니다",1630
저는 장애를 가진 전쟁 참전 용사입니다,1495
"제 배우자는 전쟁 참전 용사이고, 특수한 돌봄시설에서 관리가 필요합니다",1517
"제 어려운 부모님은 전쟁 참전 용사이고, 일상 생활에 도움이 필요합니다",2896
저는 노약자로써 장기간 돌봄이 필요하지만 비용을 감당할 수 없어요,2632
저는 장애인 전사자이고 일상 생활 활동에 도움이 필요해요,2476
제노부는 전쟁 영웅이시고 장기간 돌봄이 필요해요,3574
장애를 가진 전사자 가족이 장기간 돌봄이 필요해요,1964
에이전트 오렌지 노출로 장애를 가진 가족 구성원이 장기간 돌봄이 필요해요,4089
나는 65세 남자이고 나를 돌볼 사람이 없어요,3421
나는 가족의 지원이 없는 60세 여자입니다,1862
내 아버지는 장애를 가진 전쟁 참전용사이며 의료 서비스가 필요합니다,1698
제 할머니는 과부이고 65세가 넘었는데 돌봐줄 사람이 없어요,2768
나는 장애를 가진 전쟁 참전용사이고 지원 서비스를 찾고 있어요,1838
최근에 직장을 잃어버렸어요,2449
저는 장애가 있어서 제 요구를 수용해주는 적절한 일자리를 찾는 데 어려움을 겪고 있어요,2117
저는 싱글 부모이고 자녀들을 키우는 데 추가적인 지원이 필요해요,4023
저는 혼자 사는 노인이고 자주 외로움과 고립감을 느끼고 있어요,3040
최근에 외상적인 사건을 겪고 있고 정신적인 건강에 어려움을 겪고 있어요,2408
나는 군대에서 복무했고 몇 가지 건강 이슈가 있어요,3344
최근에 일자리를 잃고 돈이 많이 어려워요,1613
제 아이는 특수 교육이 필요하고 일상 생활에서 지원이 필요해요,1438
저는 저소득층이고 기본 필요물품을 어려워해요,4256
우리 부모님은 혼자 사시고 집안 일에 도움이 필요해요,1579
최근에 은퇴를 했어요,2248
저는 장애인이고 의료 치료 비용을 부담하기 어려워요,1722
소득이 낮아서 필요한 의료 치료비를 감당할 수가 없어요,1969
제 아이가 군 복무 중에 부상을 입었어요,3124
저는 경찰관인 배우자를 잃은 가족입니다,2118
저 최근에 다쳤어요,2089
"저 만성 질병이 있어서 정기적인 검진 및 치료가 필요한데, 전문 병원에 접근할 수가 없어요",2556
저는 장애로 인해 지체가 생겨서 일상 생활을 하기 위해 보청기가 필요해요,2677
저는 희귀한 질병으로 전문 치료가 필요하지만 제 지역에는 전문 의사가 없어요,2374
"저는 심각한 질병에 걸렸는데, 의료비가 너무 부담스러워요",1722
최근에 일자리를 잃어서 기분이 매우 우울하고 압도되는 기분이에요,1934
"노인 부모님이 만성 질병을 진단 받으셨고, 돌봄에 도움이 필요해요",2613
중독에 힘들게 괴로워하고 있고 이를 극복하기 위해 도움이 필요해요,2302
살고 있는 나라에서 헤매여서 목적지를 찾기도 어렵고 제도를 탐색하기도 어려워요,3642
장애가 있어서 매일 입고 요리하는 것과 같은 일상적인 업무에 도움이 필요해요,2898
나는 장애를 가진 군인이고 차량 연비를 감당하기 어려워요,2008
1980년 5월 민주화 운동 중에 다쳤고 재정적인 지원이 필요해요,1620
할아버지는 전쟁 영웅이고 차량 연료비에 어려움을 겪고 있어요,2547
"에이전트 오렌지 노출로 인해 건강 문제를 겪는 사람들을 위한 혜택에 대해 들어봤는데, 더 알려주실 수 있을까요?",2574
군 복무로 인해 장애를 가지고 있고 차량 유지비를 감당하기 힘들어요,1504
국가보훈대상자 친환경차량(전기·수소차) 진행한 시위 중에 다쳤어,2913
전투 경험이 있는 군인인데 경제적으로 고생하고 있어,1801
장애가 있어서 적절한 직업을 찾기가 어려워,3190
한 부모 가정이고 생활을 견디기 힘들어,2259
저소득자인데 영양가 있는 식사를 제공받기 어려워,1970
전쟁 참전 용사로서 다친 상태로 대중 교통을 이용하기 어렵습니다,1750
"저는 학생이고, 학교 통학 비용에 어려움을 겪고 있습니다",2010
최근에 일자리를 잃어 직무 면접의 교통비를 감당할 수가 없습니다,3078
장애가 있어 혼자 여행하기가 어려워요,1498
저는 노인이며 소득이 제한적입니다,2907
전쟁 베테랑인데 매달 전화요금을 내기 힘들어요,3984
정부 공무원으로 일하고 있는데 인터넷과 전화요금을 감당하기 어려워요,2591
역사적인 혁명 중 다쳐서 전화비를 내기가 어려워요,4013
장애인인데 매달 통신요금을 관리하는 것이 힘들어지고 있어요,4110
민주주의 운동에 참여했는데 전화 서비스 비용을 감당하는 게 어려워요,2501
최근에 은퇴했는데 아파트 월세를 감당하기 힘들어요,2407
전쟁 참전용사의 자식으로 나는 자영업을 시작하고 싶어요,4468
농부로서 더 많은 땅을 구매하기 위해 추가 자금이 필요해요,2544
"부모님이 전쟁용사로서 혜택을 받고 계셨는데, 저도 그 혜택을 상속 받을 수 있을까요?",2965
나는 전쟁 참전용사이고 저의 현재 집을 더 접근성 있게 개조해야 해요,3883
"나는 한국 군에서 10년 이상 장교로 복무했고, 최근에 은퇴했어",1835
"나는 비장교로 복무했고, 사업을 시작하려는데 충분한 자본이 없어",2703
"나는 10년 이상 군에서 복무했고, 은퇴 후에 안정적인 주거를 찾는 데 어려움이 있어",1842
나는 최근에 장교로 군 복무를 마치고 더 높은 교육을 받고 싶어,2026
"나는 비장교로 오랜 기간 동안 군에서 복무했고, 은퇴 후에 나의 삶을 안정시키고 싶어",1785
"최근에 일자리를 잃었고, 새로운 취업을 찾는 데 어려움을 겪고 있어요",1757
장애가 있어 일상 생활 도움이 필요해요,2337
가정 폭력 생존자로 안전한 장소가 필요해요,1842
학생인데 등록금을 지불하는 데 도움이 필요해요,3079
저는 저소득이라서 음식이나 옷과 같은 기본적인 필요물들을 감당하기 어려워요,3936
나는 군대에서 20년 이상 복무한 후 최근 은퇴했어요,1825
나는 혼자 부모로서 살기 힘들어요,1925
나는 움직이기가 어려운 장애를 가지고 있어요,1890
나는 회사의 축소로 인해 최근 일자리를 잃었어요,1651
나는 가정 폭력의 피해자이고 다시 발을 틀 수 있을 때까지 안전한 곳에서 지내야 해요,2348
나는 최근에 병역을 마쳤고 현재 실업 중입니다,2931
나는 몇 년 동안 프리랜서로 일하고 있지만 생계 유지가 어려워졌어요,2720
"나는 최근에 새로운 부모가 되었고, 아이를 키우는 데 필요한 모든 경비를 관리하기가 어려워졌어요",3614
나는 장애가 있어서 취업을 찾는 데 어려움을 겪고 있어요,2818
나는 장기간 동안 일을 못하고 있고 다시 일어서기가 어렵습니다,2181
전사된 장애 군인이고 법적 문제로 고민이 있어요,1467
저는 혼자서 어려운 생활을 하고 있는 싱글맘이에요,2509
저는 최근 이민자로 이민국의 복지 체계에 대해 잘 몰라요,1807
제가 독거하는 노인이고 일상 생활에서 도움이 필요해요,3040
저는 저소득층이고 의료비를 감당하기 어려워요,1917
"최근에 직장을 잃었고, 경제적인 책임들을 이행하는 데 어려움을 겪고 있어요",2063
저는 장애가 있어서 적절한 일자리를 찾는 데 어려움이 있어요,2010
"저는 싱글 부모이고, 어린이 돌봄 비용에 도움이 필요해요",4248
"저는 노인이고, 일상 생활 도움이 필요해요",3241
"저는 저소득 개인이고, 기본 필요품을 감당하기 어려워요",4351
최근에 일자리를 잃어 기본 생활비를 도와줄 돈에 어려움을 겪고 있어요,2195
"저는 한부모로, 아이들의 교육을 제공하기가 힘들어요",2151
최근에 장애가 발생해 일상생활에 도움이 필요해요,2719
"저는 혼자 사는 노인이고, 집안일과 잡일을 도와줄 도움이 필요해요",2253
소득이 적어 저렴한 주택이 필요해요,4704
저는 10년 이상 군 복무를 한 공군 예비역입니다,1820
전자는 10년 이상 군복무를 한 싱글 부모입니다,3642
"제 학력은 꽤 좋은 편인데, 대학 교육을 받고 싶어요",3049
제가 10년 이상 군복무를 한 퇴역 군인입니다,1819
"저는 10년 이상 군복무를 한 예비역인데, 대학에서 학위 과정을 이수하고 싶습니다",2093
저는 최근에 대학원에 입학했는데 재정적인 지원이 필요해요,2422
제 아이가 특수교육 학교에 다니고 있는데 교육 지원을 찾고 있어요,2579
제 아이는 전쟁 참전 용사의 후손이고 현재 대학에 다니고 있어요,2660
제가 전쟁 참전 용사의 배우자이며 대학에 입학하고 싶어요,2416
저는 최근에 장애로 인해 일자리를 잃었고 이제 교육 기회를 찾고 있어요,2057
최근에 일자리를 잃어서 생활비를 마련하기가 힘들어요,1560
만성 질병이 있어서 의료비를 감당하기가 어려워요,1767
저는 소득이 적고 싱글 부모이기 때문에 자녀를 늘리기가 어려워요,2270
저는 독립적으로 생활하기가 어려운 장애를 가지고 있어요,2741
제 아이의 교육비를 지불하는 데 어려움을 겪고 있어요,2164
저는 정부의 복지 지원을 받아 기본 생활비와 의료비를 지원받는 저소득자입니다,3986
저는 6세 이하의 자녀와 함께하는 싱글 부모입니다,3841
저는 장애인이며 정부로부터 일상 생활과 의료 지원을 받고 있어요,2836
저는 혼자 살고 있는 노인이며 정부로부터 연금을 받고 있어요,1925
